4501,3,Electronica
4502,2,Electronica
4503,2,Electronica
4504,1,Electronica
4505,3,Electronica
4506,1,Electronica
4507,2,Electronica
4508,3,Electronica
4509,1,Electronica
4510,2,Electronica
4511,2,Electronica
4512,2,Electronica
4513,2,Electronica
4514,2,Electronica
4515,3,Electronica
4516,4,Electronica
4517,1,Electronica
4518,3,Electronica
4519,2,Electronica
4520,3,Electronica
4521,3,Electronica
4522,1,Electronica
4523,4,Electronica
4524,2,Electronica
4525,2,Electronica
4526,3,Electronica
4527,3,Electronica
4528,2,Electronica
4529,3,Electronica
4530,3,Electronica
4531,3,Electronica
4532,2,Electronica
4533,3,Electronica
4534,1,Electronica
4535,2,Electronica
4536,4,Electronica
4537,3,Electronica
4538,1,Electronica
4539,2,Electronica
4540,2,Electronica
4541,2,Electronica
4542,3,Electronica
4543,3,Electronica
4544,3,Electronica
4545,2,Electronica
4546,4,Electronica
4547,3,Electronica
4548,3,Electronica
4549,4,Electronica
4550,1,Electronica
4601,2,Mantenimiento
4602,2,Mantenimiento
4603,4,Mantenimiento
4604,2,Mantenimiento
4605,3,Mantenimiento
4606,3,Mantenimiento
4607,2,Mantenimiento
4608,1,Mantenimiento
4609,4,Mantenimiento
4610,2,Mantenimiento
4611,2,Mantenimiento
4612,3,Mantenimiento
4613,2,Mantenimiento
4614,3,Mantenimiento
4615,4,Mantenimiento
4616,1,Mantenimiento
4617,3,Mantenimiento
4618,3,Mantenimiento
4619,3,Mantenimiento
4620,1,Mantenimiento
4621,1,Mantenimiento
4622,2,Mantenimiento
4623,2,Mantenimiento
4624,2,Mantenimiento
4625,2,Mantenimiento
4626,3,Mantenimiento
4627,1,Mantenimiento
4628,3,Mantenimiento
4629,4,Mantenimiento
4630,3,Mantenimiento
4631,3,Mantenimiento
4632,2,Mantenimiento
4633,2,Mantenimiento
4634,1,Mantenimiento
4635,2,Mantenimiento
4636,3,Mantenimiento
4637,2,Mantenimiento
4638,3,Mantenimiento
4639,2,Mantenimiento
4640,3,Mantenimiento
4641,4,Mantenimiento
4642,2,Mantenimiento
4643,3,Mantenimiento
4644,3,Mantenimiento
4645,2,Mantenimiento
4646,3,Mantenimiento
4647,3,Mantenimiento
4648,4,Mantenimiento
4649,3,Mantenimiento
4650,1,Mantenimiento
4701,4,Computacion
4702,2,Computacion
4703,3,Computacion
4704,2,Computacion
4705,4,Computacion
4706,2,Computacion
4707,3,Computacion
4708,3,Computacion
4709,3,Computacion
4710,2,Computacion
4711,4,Computacion
4712,3,Computacion
4713,3,Computacion
4714,4,Computacion
4715,4,Computacion
4716,4,Computacion
4717,1,Computacion
4718,3,Computacion
4719,2,Computacion
4720,2,Computacion
4721,2,Computacion
4722,2,Computacion
4723,2,Computacion
4724,4,Computacion
4725,2,Computacion
4726,3,Computacion
4727,2,Computacion
4728,1,Computacion
4729,2,Computacion
4730,2,Computacion
4731,1,Computacion
4732,3,Computacion
4733,3,Computacion
4734,2,Computacion
4735,4,Computacion
4736,4,Computacion
4737,2,Computacion
4738,3,Computacion
4739,3,Computacion
4740,2,Computacion
4741,2,Computacion
4742,2,Computacion
4743,3,Computacion
4744,3,Computacion
4745,2,Computacion
4746,2,Computacion
4747,3,Computacion
4748,3,Computacion
4749,2,Computacion
4750,1,Computacion
4801,3,Industrial
4802,3,Industrial
4803,4,Industrial
4804,2,Industrial
